Filename,COUNTA
Zangi.txt,9
Wego.txt,9
Speedway.txt,9
N11.txt,9
MyChart.txt,9
MagicBricks.txt,9
Frnd.txt,9
Freeup.txt,8
Your,7
com.sec.spp.push.txt,7
com.google.android.tts.txt,7
CureSkin.txt,6
CCC.txt,5
AcornTaxis.txt,5
Modo,4
EuroCars.txt,3
PractoDoctorsAppointment.txt,2
Total,8455
